縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
臺北市,松山區,中崙里,1324,1469272,1110,765,418,1366,1149.98,103.63
臺北市,松山區,自強里,2306,2429046,1053,774,432,1328,2578.41,244.78
臺北市,松山區,鵬程里,1773,1957995,1104,744,456,1398,1267.57,114.78
臺北市,松山區,東榮里,3164,5998595,1896,974,475,1935,8208.71,432.97
臺北市,松山區,介壽里,1603,2107954,1315,849,453,1669,1457.42,110.83
臺北市,松山區,東勢里,1164,1506416,1294,789,433,1535,2203.13,170.23
臺北市,松山區,東光里,2804,3412274,1217,792,438,1532,2156.31,177.19
臺北市,松山區,中正里,2901,4917914,1695,936,493,1871,3240.55,191.15
臺北市,松山區,復盛里,2249,2309489,1027,701,429,1319,1045.84,101.85
臺北市,松山區,復勢里,2237,2602189,1163,803,437,1449,1287.25,110.66
臺北市,松山區,美仁里,1192,1584769,1330,839,438,1578,1783.57,134.15
臺北市,松山區,吉仁里,1342,1699357,1266,840,465,1565,1468.66,115.98
臺北市,松山區,精忠里,1647,2866171,1740,914,481,1694,11347.16,652.05
臺北市,松山區,東昌里,1781,3211009,1803,907,455,1735,9700.76,538.06
臺北市,松山區,福成里,978,1771163,1811,951,512,1805,8721.24,481.57
臺北市,松山區,中華里,1798,2826647,1572,1054,548,1918,1928.55,122.67
臺北市,松山區,吉祥里,2852,3663514,1285,803,435,1556,3502.33,272.65
臺北市,松山區,新東里,1795,1890847,1053,769,433,1346,992.35,94.20
臺北市,松山區,三民里,2653,3249605,1225,823,442,1483,1743.40,142.33
臺北市,松山區,復建里,1244,1440569,1158,769,411,1457,1373.76,118.63
臺北市,松山區,敦化里,2370,3263362,1377,890,480,1606,2472.21,179.54
臺北市,松山區,安平里,2769,2633143,951,700,395,1214,976.49,102.69
臺北市,松山區,富錦里,1990,2308199,1160,752,416,1456,1549.67,133.60
臺北市,松山區,莊敬里,1851,1598382,864,649,373,1108,783.09,90.69
臺北市,松山區,新益里,1705,1737557,1019,733,408,1270,1278.05,125.41
臺北市,松山區,富泰里,1696,1871049,1103,751,407,1384,1364.37,123.67
臺北市,松山區,龍田里,1875,2227903,1188,841,449,1559,1182.20,99.49
臺北市,松山區,慈祐里,1851,1571413,849,605,360,984,1031.52,121.51
臺北市,松山區,復源里,1089,1188544,1091,784,420,1400,1137.23,104.20
臺北市,松山區,民福里,2237,2411356,1078,737,431,1315,1423.94,132.10
臺北市,松山區,松基里,1371,2113759,1542,829,419,1688,2695.34,174.82
臺北市,松山區,新聚里,2329,2432070,1044,735,421,1324,1200.16,114.93
臺北市,松山區,民有里,3319,5633581,1697,939,474,1856,4091.18,241.03
臺北市,大安區,建安里,2091,3263739,1561,892,458,1778,2959.67,189.62
臺北市,大安區,通安里,1762,1898730,1078,703,399,1269,1603.65,148.82
臺北市,大安區,民輝里,2301,4506674,1959,897,466,1842,9900.32,505.49
臺北市,大安區,德安里,2093,3715191,1775,902,468,1843,6379.56,359.40
臺北市,大安區,敦安里,2576,4697477,1824,1014,504,2044,3779.62,207.27
臺北市,大安區,光明里,1183,1599651,1352,845,443,1766,1594.58,117.92
臺北市,大安區,永康里,1157,1540798,1332,884,465,1669,1923.91,144.47
臺北市,大安區,福住里,1866,3036833,1627,958,500,1799,3776.32,232.04
臺北市,大安區,仁愛里,2410,6198075,2572,1004,508,2160,14740.21,573.14
臺北市,大安區,義村里,2369,2647566,1118,782,438,1434,1136.85,101.72
臺北市,大安區,臥龍里,938,1075567,1147,669,390,1320,1927.22,168.07
臺北市,大安區,通化里,1916,1817199,948,653,384,1143,1195.29,126.03
臺北市,大安區,龍生里,2127,2976646,1399,942,483,1798,2187.39,156.30
臺北市,大安區,新龍里,2171,2621986,1208,888,481,1592,1153.32,95.49
臺北市,大安區,住安里,1818,2262539,1245,771,420,1374,1920.85,154.34
臺北市,大安區,錦泰里,1780,2303928,1294,939,499,1748,1270.08,98.13
臺北市,大安區,建倫里,2482,5704222,2298,987,500,2096,23734.84,1032.74
臺北市,大安區,錦華里,1785,2522705,1413,933,475,1858,2174.89,153.89
臺北市,大安區,光武里,2893,3875479,1340,811,418,1635,1958.91,146.23
臺北市,大安區,仁慈里,1791,2873660,1605,952,491,1921,2432.15,151.58
臺北市,大安區,黎孝里,2500,2656430,1063,769,432,1362,1244.24,117.10
臺北市,大安區,民炤里,3022,4885389,1617,914,463,1793,3614.09,223.56
臺北市,大安區,昌隆里,1526,2062432,1352,850,448,1670,1948.52,144.17
臺北市,大安區,黎和里,1289,1154779,896,673,396,1131,838.21,93.56
臺北市,大安區,龍雲里,1958,3349639,1711,913,476,1787,4662.19,272.52
臺北市,大安區,青？里,470,493158,1049,613,349,1473,1076.63,102.61
臺北市,大安區,芳和里,1948,1770790,909,669,393,1152,910.69,100.18
臺北市,大安區,龍安里,1923,2950034,1534,1022,491,1908,3616.03,235.71
臺北市,大安區,義安里,2089,4107341,1966,962,494,2071,4822.89,245.29
臺北市,大安區,虎嘯里,1210,1601275,1323,836,462,1640,1836.83,138.80
臺北市,大安區,龍淵里,3104,4196621,1352,936,490,1771,1674.96,123.89
臺北市,大安區,龍坡里,1974,2855296,1446,1011,519,1939,1421.16,98.25
臺北市,大安區,龍門里,1514,2640729,1744,1008,495,2093,2485.31,142.49
臺北市,大安區,敦煌里,2367,4284594,1810,939,480,2060,4951.26,273.53
臺北市,大安區,？賢里,2085,3075273,1475,900,472,1697,3382.90,229.36
臺北市,大安區,車層里,2601,4505772,1732,900,462,1806,4542.59,262.23
臺北市,大安區,光信里,2722,4127469,1516,848,445,1729,3588.83,236.68
臺北市,大安區,和安里,2295,4265028,1858,985,506,1792,9179.83,493.96
臺北市,大安區,正聲里,1849,2961597,1602,939,469,1821,3554.79,221.93
臺北市,大安區,誠安里,1625,1867648,1149,758,425,1430,1378.28,119.92
臺北市,大安區,華聲里,1585,2157427,1361,847,458,1581,2948.23,216.60
臺北市,大安區,臨江里,1347,1180996,877,626,384,1088,1165.40,132.92
臺北市,大安區,龍陣里,1347,1649752,1225,849,472,1625,1192.10,97.33
臺北市,大安區,龍圖里,2360,3449334,1462,927,495,1779,1895.34,129.68
臺北市,大安區,古莊里,2280,2865112,1257,880,462,1642,1381.48,109.94
臺北市,大安區,錦安里,1731,2424211,1400,911,474,1799,2059.52,147.06
臺北市,大安區,大學里,3016,4073242,1351,902,474,1717,1611.10,119.29
臺北市,大安區,古風里,1503,1992130,1325,845,453,1706,1617.88,122.06
臺北市,大安區,全安里,1718,2961263,1724,954,488,1903,4344.86,252.07
臺北市,大安區,農場里,694,914853,1318,861,457,1739,1465.85,111.20
臺北市,大安區,黎元里,1680,1344509,800,605,361,1049,704.98,88.09
臺北市,大安區,法治里,1540,2109274,1370,827,436,1592,2409.07,175.89
臺北市,大安區,龍泉里,1510,1889817,1252,875,450,1661,1254.85,100.26
臺北市,大安區,？英里,2377,2765554,1163,897,489,1549,1019.82,87.65
臺北市,中正區,南門里,1229,1451416,1181,827,454,1554,1208.91,102.37
臺北市,中正區,龍興里,1201,1231637,1026,744,416,1284,1090.59,106.35
臺北市,中正區,愛國里,1066,1417196,1329,846,444,1598,1883.87,141.70
臺北市,中正區,龍光里,1362,1712877,1258,898,474,1632,1314.48,104.52
臺北市,中正區,河堤里,1731,2004270,1158,822,429,1498,1396.39,120.60
臺北市,中正區,龍福里,1992,2548226,1279,953,491,1633,1353.43,105.80
臺北市,中正區,螢雪里,1498,1384331,924,661,387,1175,893.82,96.72
臺北市,中正區,永昌里,1644,1347404,820,612,367,1003,731.16,89.21
臺北市,中正區,文盛里,1010,1221717,1210,834,440,1582,1160.36,95.93
臺北市,中正區,忠勤里,1759,1140184,648,529,330,831,476.58,73.52
臺北市,中正區,永功里,1986,1949667,982,667,385,1223,1282.08,130.60
臺北市,中正區,螢圃里,1850,1860737,1006,724,396,1305,949.59,94.41
臺北市,中正區,幸市里,1752,3281260,1873,857,443,1801,5573.42,297.59
臺北市,中正區,文祥里,2348,3581733,1525,935,472,1811,3000.56,196.70
臺北市,中正區,黎明里,944,1358357,1439,748,414,1450,2852.27,198.22
臺北市,中正區,建國里,467,819019,1754,832,490,1647,4634.86,264.28
臺北市,中正區,光復里,1202,1819087,1513,767,410,1456,6136.63,405.49
臺北市,中正區,東門里,1268,2589828,2042,754,438,1440,31419.96,1538.35
臺北市,中正區,板溪里,1135,1152613,1016,706,420,1330,964.80,95.01
