101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：苗栗縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
苗栗市,中苗里,435,367621,845,565,348,1098,832.2,98.47
苗栗市,青苗里,353,286648,812,598,326,1105,712.56,87.75
苗栗市,玉苗里,278,197627,711,520,300,882,708.01,99.59
苗栗市,綠苗里,252,189755,753,582,349,1008,585.33,77.73
苗栗市,高苗里,1043,825823,792,577,347,976,775.51,97.95
苗栗市,恭敬里,431,348228,808,612,366,1042,669.84,82.91
苗栗市,新苗里,348,266134,765,518,292,866,1392.68,182.11
苗栗市,勝利里,1296,1042691,805,585,367,1054,718.83,89.35
苗栗市,維祥里,1191,975554,819,615,368,1095,688.83,84.1
苗栗市,玉清里,832,668126,803,613,363,1087,652.54,81.26
苗栗市,嘉盛里,1273,1018202,800,586,349,1056,697.66,87.23
苗栗市,福星里,1396,1188152,851,663,373,1165,773.78,90.91
苗栗市,北苗里,1922,1679776,874,657,382,1179,717.04,82.04
苗栗市,上苗里,640,559774,875,657,369,1132,754.63,86.28
苗栗市,福麗里,1676,1405386,839,617,339,1090,956.05,114.01
苗栗市,新川里,319,249890,783,554,369,933,1009.89,128.92
苗栗市,新英里,528,376823,714,581,341,916,586.4,82.17
苗栗市,清華里,1154,938460,813,602,350,1078,913.35,112.31
苗栗市,水源里,790,582456,737,578,366,927,590.9,80.15
苗栗市,文山里,1184,1042751,881,654,378,1191,731.78,83.09
苗栗市,建功里,1579,1421938,901,648,367,1189,900.15,99.96
苗栗市,大同里,180,118573,659,465,276,778,682.17,103.56
苗栗市,玉華里,1246,1154788,927,628,387,1146,2787.98,300.82
苗栗市,維新里,1328,1077851,812,601,372,1037,750.65,92.49
苗栗市,福安里,1197,932872,779,617,383,1036,623.45,80
苗栗市,嘉新里,1101,905597,823,639,376,1091,668.11,81.23
苗栗市,南勢里,559,355660,636,533,342,838,446.59,70.19
苗栗市,文聖里,1065,876347,823,672,373,1104,651.52,79.18
苗栗市,其　他,2,1313,656,656,624,689,92.83,14.14
苗栗市,合　計,25598,21054816,823,612,362,1077,966.02,117.45
苑裡鎮,苑東里,645,464436,720,528,315,941,628.99,87.35
苑裡鎮,西平里,444,253848,572,465,279,744,450.57,78.81
苑裡鎮,苑南里,552,408816,741,537,315,927,670.91,90.59
